Plot,Plot_Size,Stem_Inference_Area_for_Saplings,Stem_Inference_Area_for_Trees,MinimumTreeSize,TreeData,PlotTotalDensity,PlotTotalBA,Tree data complete,Physiognomy,Tree Cover,Tree Height,Tree Leaf Type,Tree Phenology,Shrub Cover,Shrub Height,Shrub Leaf Type,Shrub Phenology,Herb Cover,Herb Height,Herb Life Form,Herb Growth Habit,Bryophyte Cover,Bryophyte Life Form,Elevation,Aspect,Slope,CEC,pH,OM,N,S,P,Ca,Mg,CaMgRatio,K,Na,B,Fe,Mn,Cu,Zn,Al,Base Saturation,FertilityIndex,Latitude,Longitude,UTMN,UTME,UTM Zone,Location Method,Estimated Accuracy
COWB007P,100,100,100,,Yes,100,0.020106193,TRUE,Herbaceous with sparse shrub layer,,,,,2,2,Broad - leaved,Deciduous,95,<1,Mixed,Perennial Herb,,,426,flat,,25.27000046,5.900000095,6.170000076,106,48,17,3153,463,6.809935093,99,15,0.589999974,191,9,3.430000067,2.779999971,785,78.91000366,19.94055748,380117.76,790329.9484,4209991,670432,17,GPS,Confident computed pos. within 25 m of true pos.
CPMR002,100,100,100,,Yes,2000,0.129983399,TRUE,Herbaceous,,,,,5,,Broad - leaved,Deciduous,90,1,Graminoid,Perennial Herb,,,2,flat,,12.14000034,4.599999905,9.210000038,121,55,35,525,185,2.837837934,65,87,0.639999986,387,6,7.110000134,24.46999931,662,47,5.705800056,364842.192,755803.684,4074422,413686,18,GPS,Confident computed pos. within 25 m of true pos.
CPMR003,100,100,100,,Yes,7300,1.467752066,TRUE,Shrubland / Sparse Shrubland,,,,,90,2,Broad - leaved,Deciduous,20,,Mixed,Perennial Herb,,,2,flat,,6.059999943,4.699999809,3.190000057,82,41,18,312,75,4.159999847,29,52,0.709999979,236,3,3.170000076,12.39999962,189,49,2.969399929,364841.976,755804.152,4074417,413674,18,GPS,Confident computed pos. within 25 m of true pos.
CUMM002P,400,40,400,,Yes,12850,24.16002512,TRUE,Woodland,20,17,Broad - leaved,Deciduous,60,4,Broad - leaved,Deciduous,40,2,Graminoid,Annual Herb,,,0,flat,,30.36000061,4.300000191,33.18000031,130,268,18,906,466,1.944205999,84,970,0.670000017,401,139,3.599999905,30.15999985,482,42.33000183,12.85138798,373258.56,765903.84,4157695,324706,18,GPS,Confident computed pos. within 25 m of true pos.
DEEP002P,400,400,400,,Yes,4475,31.13679591,TRUE,Forest,50,22,Broad - leaved,Deciduous,10,3,Broad - leaved,Deciduous,10,1,Mixed,Perennial Herb,15,Bryophyte,382,flat,,24.53000069,4.300000191,9.760000229,124,50,37,455,104,4.375,71,9,0.360000014,105,7,0.800000012,1.409999967,1300,13.72000027,3.365515947,381629.244,784638.82,4238641,694415,17,GPS,Confident computed pos. within 25 m of true pos.
DEEP003P,1000,1000,1000,,Yes,2270,26.10584168,TRUE,Forest,80,19,Broad - leaved,Deciduous,10,4,Broad - leaved,Deciduous,40,0.5,Mixed,Perennial Herb,10,Bryophyte,382,flat,,9.069999695,4.800000191,2.930000067,79,33,31,586,86,6.8139534,18,10,0.400000006,127,9,0.560000002,0.910000026,515,41.22999954,3.739561081,381628.128,784640.26,4238605,694381,17,GPS,Confident computed pos. within 25 m of true pos.
DOSP001,400,400,400,,Yes,850,27.02148715,TRUE,Woodland,30,7,Broad - leaved,Deciduous,15,,Broad - leaved,Deciduous,50,<0.5,Mixed,Perennial Herb,,,772,270,19,21.55999947,3.700000048,17.64999962,129,47,36,651,67,9.716418266,74,10,0.600000024,283,111,1.24000001,5.800000191,1243,18.78000069,4.048967838,375456.8008,794651.0996,4197171,607161,17,,
FCSP005P,100,100,100,,Yes,600,0.648660362,TRUE,Herbaceous with sparse shrub layer,,,,,5,5,Broad - leaved,Deciduous,50,<1,Graminoid,Perennial Herb,,,2,flat,,,,,,,,,,,,,,,,,,,,,363331.104,755225.392,4046267,421812,18,GPS,Confident computed pos. within 25 m of true pos.
FCSP009P,300,300,300,,Yes,2800,5.507997285,TRUE,Shrubland / Sparse Shrubland,,,,,60,3,Broad - leaved,Evergreen,5,<1,Graminoid,Perennial Herb,,,4,flat,,,,,,,,,,,,,,,,,,,,,363428.8408,755256.3088,4048054,421060,18,GPS,Confident computed pos. within 25 m of true pos.
FCSP010P,400,400,400,,Yes,975,1.489291638,TRUE,Shrubland / Sparse Shrubland,,,,,20,3,Broad - leaved,Evergreen,10,<1,Mixed,Perennial Herb,,,3,flat,,,,,,,,,,,,,,,,,,,,,363549.6608,755252.2084,4050543,421184,18,GPS,Confident computed pos. within 25 m of true pos.
FCSP012P,1000,1000,1000,,Yes,1530,37.91800967,TRUE,Forest,40,14.5,Needle - leaved,Evergreen,5,3,Broad - leaved,Evergreen,15,1,Graminoid,Perennial Herb,1,Bryophyte,3,flat,,0.889999986,4.199999809,0.239999995,10,18,12,100,28,3.571428537,10,30,0.560000002,108,1,0.239999995,0.400000006,100,100,0.889999986,363545.7008,755305.8992,4050424,420843,18,GPS,Confident computed pos. 25-100m from true pos.
FCSP013P,1000,1000,1000,,Yes,840,25.18618027,TRUE,Forest,60,19,Needle - leaved,Evergreen,5,6,Broad - leaved,Evergreen,1,0.4-0.5,Graminoid,Perennial Herb,1,Bryophyte,3,flat,,1.320000052,5,0.330000013,13,17,6,100,28,3.571428537,8,26,0.680000007,106,1,0.25,0.400000006,68,65.30000305,0.861959994,363705.4984,755349.3008,4052893,419788,18,GPS,Confident computed pos. 25-100m from true pos.
FRAN005,400,400,400,,Yes,1050,3.440161762,TRUE,Woodland,,,,,,,,,,,,,,,311,292,25,,,,,,,,,,,,,,,,,,,,365144.424,800619.296,4079975,579746,17,GPS,Confident computed pos. within 25 m of true pos.
FRAN006,400,400,400,,Yes,4400,37.5478836,TRUE,Forest,80,,Broad - leaved,Mixed Deciduous,60,,Broad - leaved,Deciduous,25,,Mixed,Perennial Herb,20,,313,22,12,17.79000092,5.300000191,7.869999886,114,39,16,1902,318,5.98113203,70,28,0.870000005,394,111,4.25,3.980000019,545,70.04000092,12.46011639,365054.168,800340.896,4078464,583683,17,GPS,Confident computed pos. within 25 m of true pos.
FRAN007,400,400,400,,Yes,3425,16.69432504,TRUE,Shrubland / Sparse Shrubland,5,,Broad - leaved,Deciduous,,,Broad - leaved,Mixed Deciduous,,,Mixed,Deciduous Woody,45,Lichen,297,190,40,18.31999969,4.699999809,7.820000172,114,45,33,951,207,4.594202995,71,54,0.689999998,282,39,5.309999943,6.519999981,833,37.65999985,6.899312019,365050.352,800617.1,4078309,579816,17,GPS,Confident computed pos. within 25 m of true pos.
FSMP026,400,400,400,,Yes,1450,29.76401818,TRUE,Forest,80,27,Broad - leaved,Deciduous,70,5,Broad - leaved,Deciduous,60,.05,Graminoid,Perennial Herb,15,,40,flat,0,10.02000046,4,3.089999914,81,26,23,121,38,3.184210539,22,14,0.289999992,117,3,0.439999998,2.769999981,501,10.34000015,1.036067963,381448.664464,772640.64892,4236030,286075,18,GPS,Confident computed pos. within 25 m of true pos.
GDNF001,400,400,400,,Yes,2300,35.83129764,TRUE,Forest,70,,Broad - leaved,Deciduous,30,,Broad - leaved,Deciduous,90,,Mixed,Perennial Herb,7,Mixed,1283,343,23,36.54000092,3,9.020000458,120,23,27,78,20,3.900000095,56,13,0.589999974,197,31,0.579999983,2.50999999,870,2.079999924,0.760031998,381014.9016,791851.8004,4226109,647653,17,GPS,Confident computed pos. within 25 m of true pos.
GDNF002,400,400,400,,Yes,1500,26.08391677,TRUE,Woodland,50,,Broad - leaved,Deciduous,30,,Broad - leaved,Deciduous,70,,Mixed,Perennial Herb,70,Mixed,1236,347,31,,,,,,,,,,,,,,,,,,,,380950.7996,791912.6012,4225357,647161,17,GPS,Confident computed pos. within 25 m of true pos.
GDNF903,400,400,400,,Yes,1175,9.220063721,TRUE,Woodland,25,10,Needle - leaved,Mixed Evergreen,25,,Broad - leaved,Deciduous,15,<0.5,Mixed,Perennial Herb,,,662,138,37,13.72000027,4.699999809,2.480000019,70,27,22,834,177,4.711864471,103,10,0.629999995,153,115,1.960000038,1.179999948,903,43.40000153,5.954480171,381938.6004,792436.2988,4243336,638972,17,,
GDNF906,100,100,100,,Yes,4700,27.72235672,TRUE,Woodland,15,,Needle - leaved,Mixed Evergreen,15,,Broad - leaved,Deciduous,15,<0.5,Mixed,Perennial Herb,,,569,200,20,20.04000092,4.400000095,6.309999943,107,34,25,306,93,3.290322542,73,9,0.620000005,226,152,1.399999976,2.150000095,981,12.61999989,2.529047966,381341.9016,792131.7988,4232420,643647,17,,
GDNF908,400,400,400,,Yes,1300,17.97843107,TRUE,Woodland,40,,Needle - leaved,Mixed Evergreen,8,,Broad - leaved,Deciduous,15,<0.5,Mixed,,15,,486,202,18,15.97000027,4,5.119999886,101,24,14,294,51,5.764705658,74,7,0.600000024,241,56,1.25999999,2.089999914,969,13.23999977,2.114428043,380243.4004,793851.7992,4211714,618656,17,,
GDNF909,400,400,400,,Yes,1750,7.445653161,TRUE,Woodland,,,,,50,,Broad - leaved,Mixed Deciduous,25,<0.5,Mixed,Perennial Herb,2,Mixed,492,296,33,26.71999931,5.400000095,12.40999985,126,53,59,2613,224,11.6651783,124,12,0.970000029,156,388,5.360000134,6.550000191,1035,57.25999832,15.2998724,380252.1016,793902.5992,4211978,618389,17,,
GHSP013,1000,1000,1000,,Yes,1020,29.1325703,TRUE,Forest,60,17,Broad - leaved,Deciduous,5,3,Broad - leaved,Mixed Evergreen,80,0.1-0.4,Graminoid,Perennial Herb,2,Bryophyte,1490,223,10,31.65999985,3.700000048,27.37999916,130,122,51,216,62,3.483870983,103,26,0.730000019,341,31,0.360000014,4.940000057,1251,6.21999979,1.96925199,363742.0888,813031.9284,4053767,454503,17,GPS,Confident computed pos. within 25 m of true pos.
GHSP014,400,400,400,,Yes,3050,2.867292347,TRUE,Herbaceous with sparse shrub layer,,,,,20,5,Broad - leaved,Deciduous,70,0.1-0.7,Graminoid,Perennial Herb,10,Mixed,1550,273,16,32.25999832,4.099999905,27.17000008,130,83,66,335,46,7.282608509,76,74,0.460000008,244,4,1.789999962,6.110000134,1437,7.96999979,2.571121931,363737.02,813017.7408,4053609,454855,17,GPS,Confident computed pos. within 25 m of true pos.
GJNF003,1000,1000,1000,,Yes,3180,14.5205669,TRUE,Woodland,20,14,Needle - leaved,Mixed Evergreen,40,,Broad - leaved,Deciduous,25,<1,Ericad,Deciduous Woody,10,Mixed,498,212,20,13.69999981,4.199999809,5.650000095,103,34,12,291,66,4.409090996,60,28,0.460000008,210,125,0.829999983,1.710000038,1036,16.63999939,2.279680014,375026.6208,800441.5488,4188544,581106,17,GPS,Confident computed pos. within 25 m of true pos.
GJNF004,400,400,400,,Yes,4500,4.794796903,TRUE,Shrubland / Sparse Shrubland,,,,,40,4,Broad - leaved,Mixed Deciduous,90,<<1,Graminoid,Perennial Herb,2,Mixed,508,225,21,18.34000015,4.5,8.539999962,118,30,35,1095,138,7.934782505,88,15,0.49000001,141,282,1.440000057,3.230000019,1003,37.72999954,6.919682026,375020.0004,800440.0008,4188340,581146,17,topo map,Confident computed pos. 100-250m from true pos.
GJNF904,400,400,400,,Yes,2475,21.77131531,TRUE,Woodland,50,,Broad - leaved,Mixed Deciduous,10,,Broad - leaved,Mixed Deciduous,5,<.05,Graminoid,,20,,565,203,27,17.42000008,4.099999905,6.710000038,109,31,11,121,37,3.270270348,67,11,0.620000005,261,21,1.809999943,1.600000024,1102,6.480000019,1.128816009,375525.7988,795902.5008,4197851,589293,17,,
GJNF905,100,100,100,,Yes,11100,0.818541989,TRUE,Herbaceous with sparse shrub layer,5,,Broad - leaved,Mixed Deciduous,10,,Broad - leaved,Deciduous,70,<0.5,Mixed,Perennial Herb,,,530,205,35,23.84000015,5.099999905,11.53999996,126,46,74,1614,181,8.917126656,143,9,0.810000002,191,277,2.339999914,7.960000038,1100,41.88000107,9.984191895,375525.5,795911.4,4197839,589076,17,,
GJNF906,100,100,100,,Yes,1900,12.10903334,TRUE,Woodland,,,,,40,,Broad - leaved,Mixed Deciduous,40,<0.5,Woody Seedling,Deciduous Woody,5,Mixed,463,160,36,23.29000092,5.699999809,13.22999954,127,39,39,3141,205,15.32195091,198,8,1.090000033,133,193,2.890000105,3.5,819,77.11000061,17.95891953,375638.9004,793404.6992,4200584,625827,17,,
GLOU005,1000,1000,1000,,Yes,1190,39.47412027,TRUE,Forest,60,,Broad - leaved,Mixed Deciduous,20,6,Broad - leaved,Evergreen,5,0.1-0.2,Woody Seedling,Deciduous Woody,,,1,flat,0,7.71999979,4.199999809,2.25999999,65,25,18,91,52,1.75,28,49,0.670000017,199,4,0.49000001,0.569999993,263,15.18000031,1.171895981,371741.892,763244.772,4128715,362992,18,GPS,Confident computed pos. within 25 m of true pos.
GLOU006,1000,1000,1000,,Yes,2680,38.98385039,TRUE,Forest,90,29,Broad - leaved,Deciduous,30,,Broad - leaved,Evergreen,1,0.2-0.4,Woody Seedling,Deciduous Woody,,,1,flat,0,8.260000229,4.599999905,2.549999952,71,22,27,196,54,3.629629612,34,45,0.550000012,186,12,0.610000014,1.00999999,431,20.72999954,1.712298036,371755.392,763254.564,4129135,362758,18,GPS,Confident computed pos. within 25 m of true pos.
GOSH001,400,400,400,,Yes,7375,15.69950035,TRUE,Forest,70,21,Broad - leaved,Deciduous,25,3,Broad - leaved,Deciduous,80,<<1,Forb,Perennial Herb,3,Bryophyte,410,flat,0,11.15999985,4,3.220000029,82,29,32,123,31,3.967741966,18,8,0.920000017,464,2,0.829999983,2.220000029,518,8.579999924,0.957527995,375653.6604,792741.9004,4201188,635163,17,GPS,Confident computed pos. within 25 m of true pos.
GOSH002P,1000,1000,1000,,Yes,910,32.86550415,TRUE,Forest,60,30,Broad - leaved,Deciduous,10,5,Broad - leaved,Deciduous,7,0.1 - 0.2,Mixed,Deciduous Woody,3,Mixed,605,149,11,7.710000038,4.5,5.25,101,45,26,137,38,3.605263233,46,9,0.800000012,285,216,0.50999999,2.130000114,709,15.06999969,1.161896944,375656.6808,792657.5088,4201299,636245,17,GPS,Confident computed pos. within 25 m of true pos.
GOSH004P,1000,1000,1000,,Yes,3510,19.070457,TRUE,Forest,40,22,Broad - leaved,Deciduous,60,1.5,Broad - leaved,Mixed Deciduous,20,0.4,Ericad,Deciduous Woody,2,Lichen,604,267,11,8.5,4.099999905,3.960000038,90,44,15,85,25,3.400000095,27,7,0.819999993,416,4,0.519999981,1.460000038,718,8.640000343,0.734399974,375657.5484,792640.8084,4201333,636652,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF014,400,400,400,,Yes,1400,14.7863182,TRUE,Forest,90,,Broad - leaved,Deciduous,50,,Broad - leaved,Deciduous,70,,Forb,Perennial Herb,10,Bryophyte,521,182,3,14.52000046,4.599999905,5.010000229,100,42,29,459,75,6.119999886,30,24,0.680000007,271,26,0.920000017,2.960000038,757,21.35000038,3.100019932,374519.0008,791600.9984,4180077,652668,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF015,400,400,400,,Yes,1675,27.30360093,TRUE,Forest,90,,Broad - leaved,Deciduous,30,,Broad - leaved,Mixed Deciduous,70,,Mixed,Perennial Herb,10,Bryophyte,681,70,7,12.05000019,5,4.739999771,97,26,46,683,81,8.432098389,40,20,0.769999981,298,218,0.920000017,4.760000229,716,35.54999924,4.283774853,374536.6012,791648.6984,4180598,651491,17,topo map,
GPNF016,400,400,400,,Yes,2075,47.81676704,TRUE,Forest,70,37,Broad - leaved,Deciduous,30,,Broad - leaved,Deciduous,70,,Forb,Perennial Herb,1,,713,140,11,16.43000031,4.699999809,6.590000153,108,22,14,771,109,7.073394299,72,14,0.560000002,116,23,0.689999998,2.299999952,651,30.48999977,5.009507179,374551.8004,791654.5016,4181064,651340,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF020,400,400,400,,Yes,2775,23.58796165,TRUE,Forest,70,,Broad - leaved,Deciduous,50,,Broad - leaved,Deciduous,70,,Pteridophyte,Perennial Herb,30,Bryophyte,496,10,3,5.400000095,5.300000191,8.109999657,116,60,11,97,60,1.616666675,94,15,0.610000014,285,1980,2.720000029,5.5,781,23.85000038,1.287899971,375820.136,785952.08,4204628,675863,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF021,1000,1000,1000,,Yes,750,44.39022597,TRUE,Forest,80,43,Needle - leaved,Mixed Evergreen,5,,Broad - leaved,Deciduous,50,<1,Mixed,Perennial Herb,1,Bryophyte,549,340,26,20.67000008,4.699999809,8.43999958,117,23,19,627,89,7.04494381,87,65,0.270000011,139,102,0.550000012,1.899999976,1087,21.18000031,4.377905846,374617.0004,791449.92,4181897,654374,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF022,1000,1000,1000,,Yes,3080,19.55617088,TRUE,Forest,60,15,Broad - leaved,Deciduous,10,,Broad - leaved,Deciduous,60,<<1,Pteridophyte,Perennial Herb,5,Mixed,1161,45,19,26.35000038,4,25.80999947,130,48,58,153,37,4.135135174,93,51,0.319999993,136,62,0.419999987,2.539999962,1564,5.809999943,1.530935049,374524.1884,791141.7408,4180357,659009,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF023,400,400,400,,Yes,3800,11.15968321,TRUE,Forest,60,,Broad - leaved,Deciduous,70,,Broad - leaved,Deciduous,10,<<1,Pteridophyte,Perennial Herb,65,Mixed,1072,5,28,,,,,,,,,,,,,,,,,,,,374921.72,790409.5808,4187899,669923,17,GPS,Confident computed pos. within 25 m of true pos.
GPNF024,1000,1000,1000,,Yes,3310,35.88902844,TRUE,Forest,60,16,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,30,0.5,Graminoid,Perennial Herb,70,Bryophyte,519,flat,0,19.03000069,4.449999809,25.25,128,32,46,149,68,2.172740936,58,14,0.270000011,134,3,0.564999998,1.424999952,1072,7.980000019,1.51928997,375823.448,790010.764,4204721,675405,17,DOQQ,Confident computed pos. 25-100m from true pos.
GPNF705,400,400,400,,Yes,825,23.92336547,TRUE,Forest,70,,Broad - leaved,Deciduous,15,,Broad - leaved,Evergreen,30,<1,Ericad,Evergreen Woody,2,Bryophyte,969,45,10,,,,,,,,,,,,,,,,,,,,375636.2004,790329.9988,4201312,670612,17,topo map,Confident computed pos. 25-100m from true pos.
GPNF709,400,400,400,,Yes,550,15.70774686,TRUE,Forest,70,,Broad - leaved,Deciduous,70,,Broad - leaved,Mixed Evergreen,50,<1,Ericad,Deciduous Woody,1,Bryophyte,975,0,10,,,,,,,,,,,,,,,,,,,,375630.3,790306.9984,4201142,671177,17,topo map,Confident computed pos. 25-100m from true pos.
GRAF105,100,100,100,,Yes,200,13.73535764,TRUE,,,,,,,,,,,,,,,,16,flat,0,,3.5,,,,19,60,21,2.857142925,37,,0.100000001,18,0,0.730000019,1.200000048,722,,,371036.732,763050.58,4115567,365594,18,topo map,
GRAF201P,1000,1000,1000,,Yes,1090,31.9699861,TRUE,Forest,60,36,Broad - leaved,Deciduous,10,,Broad - leaved,Deciduous,1,,Mixed,Deciduous Woody,1,Bryophyte,15,flat,,8.899999619,4.099999905,4.940000057,99,45,43,145,33,4.393939495,39,7,0.709999979,139,38,0.5,1.269999981,905,12.73999977,1.133859992,371100.06,763038.52,4116281,365903,18,GPS,Confident computed pos. 100-250m from true pos.
GRAF202P,1000,1000,1000,,Yes,2370,23.1332194,TRUE,Forest,50,26,Broad - leaved,Deciduous,20,2,Broad - leaved,Deciduous,10,10,Ericad,Deciduous Woody,1,Bryophyte,16,flat,,13.51000023,4,4.269999981,93,42,19,95,33,2.878787994,26,12,0.860000014,339,1,0.389999986,1.039999962,712,6.449999809,0.871394992,371052.2984,763002.1996,4116027,366795,18,GPS,Confident computed pos. 100-250m from true pos.
GRAF203P,1000,1000,1000,,Yes,910,32.54457487,TRUE,Forest,60,,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,10,,Woody Seedling,Deciduous Woody,1,Bryophyte,15,flat,,9.130000114,4.199999809,3.539999962,85,42,33,195,32,6.09375,35,7,0.730000019,157,16,0.430000007,1.090000033,804,14.93999958,1.364022017,371101.2984,763039.3012,4116319,365884,18,GPS,Confident computed pos. 100-250m from true pos.
GRAS001P,1000,1000,1000,,Yes,3350,20.55851933,TRUE,Woodland,50,,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,20,,Mixed,Perennial Herb,5,Mixed,483,331,6,11.63000011,5,5.730000019,104,24,11,548,118,4.644067764,36,10,0.379999995,199,71,0.790000021,2.630000114,808,33.22000122,3.863486052,370043.0884,795443.2288,4096753,596792,17,GPS,Confident computed pos. within 25 m of true pos.
GRAS002P,1000,1000,1000,,Yes,2790,23.06622542,TRUE,Forest,60,22,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,70,,Mixed,Deciduous Woody,2,Mixed,464,355,4,10.77000046,5.599999905,5.860000134,104,15,9,675,228,2.960526228,48,9,0.319999993,108,152,0.819999993,2.940000057,590,50.50999832,5.439927101,370020.4984,795516.7988,4096048,595970,17,topo map,Confident computed pos. >250m from true pos.
GRAS003P,1000,1000,1000,,Yes,2650,23.78433128,TRUE,Forest,20,15,Needle - leaved,Mixed Evergreen,25,,Broad - leaved,Deciduous,60,<1,Ericad,Deciduous Woody,5,Mixed,499,340,6,12.90999985,4.300000191,5.309999943,102,27,8,211,41,5.146341324,17,11,0.409999996,306,7,0.800000012,1.350000024,780,11.53999996,1.489814043,370001.8,795534.32,4095467,595543,17,GPS,Confident computed pos. within 25 m of true pos.
GRAS004P,1000,1000,1000,,Yes,2120,19.76556555,TRUE,Forest,70,,Broad - leaved,Deciduous,10,,Broad - leaved,Deciduous,10,,Mixed,Deciduous Woody,1,Mixed,514,310,4,13.93000031,5.300000191,8.899999619,120,37,23,1231,269,4.576208115,64,9,0.910000026,132,339,1.419999957,3.059999943,563,61.74000168,8.600381851,370053.3088,795428.1808,4097073,597160,17,GPS,Confident computed pos. within 25 m of true pos.
GRAS005P,1000,1000,1000,,Yes,3220,26.70653761,TRUE,Forest,50,,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,5,,Woody Seedling,Deciduous Woody,2,Mixed,502,315,14,6.230000019,5.599999905,5.659999847,103,29,20,689,262,2.629770994,45,7,0.870000005,171,155,0.939999998,2.140000105,335,92.65000153,5.772095203,365957.0408,795555.7688,4095314,595015,17,GPS,Confident computed pos. within 25 m of true pos.
GRAS006P,1000,1000,1000,,Yes,2430,32.38179346,TRUE,Forest,60,21,Broad - leaved,Deciduous,20,,Broad - leaved,Deciduous,10,,Woody Seedling,Deciduous Woody,2,Mixed,397,300,11,2.700000048,4.900000095,2.710000038,74,27,14,286,87,3.287356377,22,8,0.819999993,253,62,0.5,1.340000033,312,83.04000092,2.242079973,370049.4604,795500.5484,4096945,596361,17,GPS,Confident computed pos. within 25 m of true pos.
GRAS007P,1000,1000,1000,,Yes,2670,22.74103084,TRUE,Forest,60,26,Broad - leaved,Deciduous,15,2,Broad - leaved,Deciduous,20,,Mixed,Perennial Herb,1,Lichen,468,183,19,5.860000134,5.699999809,4.96999979,100,27,14,815,197,4.137055874,41,8,0.870000005,150,152,0.829999983,1.850000024,406,100,5.860000134,365936.7008,795559.5884,4094686,594928,17,GPS,Confident computed pos. within 25 m of true pos.
GRAS008P,1000,1000,1000,,Yes,1590,23.55921938,TRUE,Woodland,40,15,Broad - leaved,Mixed Deciduous,10,1,Broad - leaved,Deciduous,30,0.2 - 0.4,Ericad,Deciduous Woody,15,Mixed,416,flat,0,5.110000134,4.5,3.359999895,84,32,12,119,38,3.131578922,21,8,0.850000024,341,3,0.680000007,0.949999988,512,19.53000069,0.997982979,365949.2684,795521.4608,4095084,595866,17,GPS,Confident computed pos. within 25 m of true pos.
GRNF001,400,400,400,,Yes,3225,39.45180693,TRUE,Forest,70,,Broad - leaved,Deciduous,50,,Broad - leaved,Deciduous,70,,Mixed,Perennial Herb,15,Mixed,1263,48,27,11.06999969,4.900000095,10.56999969,125,36,27,510,48,10.625,109,16,0.689999998,164,244,1.149999976,17.26000023,1335,29.85000038,3.30439496,383035.8992,791128.6008,4263950,657701,17,GPS,Confident computed pos. within 25 m of true pos.
GRNF002,400,400,400,,Yes,1350,60.20917245,TRUE,Forest,90,,Needle - leaved,Mixed Evergreen,30,,Needle - leaved,Evergreen,5,,Mixed,Deciduous Woody,3,Bryophyte,1227,314,23,36.36999893,3,11.02999973,126,20,16,59,17,3.470588207,39,13,0.600000024,223,12,0.479999989,2.069999933,875,1.620000005,0.589194,383041.1012,791134.2996,4264108,657560,17,GPS,Confident computed pos. within 25 m of true pos.
GWNF016,1000,1000,1000,,Yes,1100,30.76882071,TRUE,Forest,80,,Broad - leaved,Deciduous,5,,Broad - leaved,Deciduous,80,,Forb,Perennial Herb,1,Mixed,1169,116,9,22.62000084,4.800000191,17.34000015,129,44,195,1944,131,14.83969498,138,8,1.00999999,129,471,1.570000052,11.97999954,960,49.50999832,11.19916153,381332.1888,795136,4231461,599783,17,GPS,Confident computed pos. within 25 m of true pos.
GWNF017,1000,1000,1000,,Yes,940,32.1187875,TRUE,Forest,60,28,Broad - leaved,Deciduous,1,3,Broad - leaved,Deciduous,30,0.1-0.8,Mixed,Perennial Herb,2,Mixed,999,140,8,19.79000092,4.400000095,9.920000076,125,59,20,326,50,6.519999981,57,20,0.400000006,73,412,1.649999976,3.480000019,1342,11.52000046,2.279808044,380935.9208,794249.5684,4224347,612684,17,GPS,Confident computed pos. within 25 m of true pos.
GWNF018,1000,1000,1000,,Yes,2320,25.24232699,TRUE,Forest,70,22,Broad - leaved,Deciduous,15,3,Broad - leaved,Deciduous,60,0.1-0.4,Mixed,Deciduous Woody,1,Mixed,979,275,6,17.63999939,4,6.599999905,108,50,35,155,37,4.189188957,71,19,0.349999994,158,245,1.080000043,2.650000095,1140,7.639999866,1.347695947,380700.8004,795058.1604,4219409,600853,17,GPS,Confident computed pos. within 25 m of true pos.
GWNF019,1000,1000,1000,,Yes,1710,22.9612802,TRUE,Woodland,40,17,Broad - leaved,Deciduous,10,3,Broad - leaved,Deciduous,60,0.5,Ericad,Deciduous Woody,1,Mixed,1073,271,12,25.94000053,3.799999952,5.320000172,102,51,25,123,34,3.617647171,49,23,0.460000008,294,91,1.139999986,1.929999948,1195,4.329999924,1.123201966,380939.7404,794807.3008,4224361,604950,17,GPS,Confident computed pos. within 25 m of true pos.
GWNF020,1000,1000,1000,,Yes,1520,24.08767508,TRUE,Woodland,50,16,Broad - leaved,Deciduous,10,5,Broad - leaved,Deciduous,60,0.1-0.5,Graminoid,Perennial Herb,5,Bryophyte,1100,137,10,20.73999977,4,8.609999657,118,60,115,269,47,5.723404408,68,24,0.400000006,214,337,0.920000017,2.680000067,1135,9.699999809,2.011780024,380508.7684,794446.4208,4216073,609952,17,GPS,Confident computed pos. within 25 m of true pos.
GWNF901,400,400,400,,Yes,1375,13.87270349,TRUE,Woodland,,,,,25,,Broad - leaved,Deciduous,15,<0.5,Mixed,Deciduous Woody,,,502,196,24,20.09000015,4,6.329999924,107,24,13,161,39,4.128205299,73,10,0.550000012,277,19,1.220000029,2.25,1137,6.78000021,1.362102032,375815.8016,793701.7004,4203506,621462,17,,
GWNF902,400,400,400,,Yes,1900,20.43983031,TRUE,Woodland,30,,,Deciduous,15,,Broad - leaved,Deciduous,15,<0.5,Ericad,Deciduous Woody,50,Lichen,514,241,11,21.25,4,7.800000191,114,24,11,156,37,4.216216087,66,10,0.649999976,300,45,1.200000048,2.640000105,1125,6.139999866,1.304749966,375817.6988,793659.0004,4203565,621527,17,,
